k,c,m,t,x
200,2,1,0.041701417848206836,0.8356541483330675
200,2,1,0.042535446205170975,0.8293077364975983
200,2,1,0.04336947456213511,0.8228566256810823
200,2,1,0.04420350291909925,0.8163018871060694
200,2,1,0.045037531276063386,0.8096446046143169
200,2,1,0.04587155963302752,0.8028858744951001
200,2,1,0.04670558798999166,0.7960268053120787
200,2,1,0.0475396163469558,0.7890685177287462
200,2,1,0.04837364470391993,0.7820121443324871
200,2,1,0.04920767306088407,0.7748588294572714
200,2,1,0.05004170141784821,0.7676097290050103
200,2,1,0.05087572977481234,0.760266010265603
200,2,1,0.05170975813177648,0.7528288517356999
200,2,1,0.05254378648874061,0.7452994429362088
200,2,1,0.05337781484570475,0.7376789842285754
200,2,1,0.05421184320266889,0.7299686866298613
200,2,1,0.055045871559633024,0.7221697716266499
200,2,1,0.05587989991659716,0.714283470987806
200,2,1,0.056713928273561295,0.7063110265761198
200,2,1,0.057547956630525435,0.69825369015886
200,2,1,0.058381984987489574,0.6901127232172687
200,2,1,0.059216013344453707,0.6818893967550193
200,2,1,0.060050041701417846,0.6735849911056737
200,2,1,0.060884070058381985,0.6652007957391622
200,2,1,0.06171809841534612,0.6567381090673156
200,2,1,0.06255212677231026,0.6481982382484789
200,2,1,0.0633861551292744,0.6395824989912343
200,2,1,0.06422018348623854,0.6308922153572647
200,2,1,0.06505421184320266,0.6221287195633808
200,2,1,0.0658882402001668,0.6132933517827494
200,2,1,0.06672226855713094,0.6043874599453432
200,2,1,0.06755629691409508,0.5954123995376466
200,2,1,0.06839032527105922,0.5863695334016452
200,2,1,0.06922435362802334,0.577260231533127
200,2,1,0.07005838198498748,0.5680858708793254
200,2,1,0.07089241034195162,0.5588478351359345
200,2,1,0.07172643869891576,0.5495475145435228
200,2,1,0.0725604670558799,0.540186305683378
200,2,1,0.07339449541284404,0.5307656112728097
200,2,1,0.07422852376980817,0.5212868399599407
200,2,1,0.0750625521267723,0.5117514061180155
200,2,1,0.07589658048373644,0.5021607296392573
200,2,1,0.07673060884070058,0.4925162357282991
200,2,1,0.07756463719766472,0.48281935469522264
200,2,1,0.07839866555462885,0.4730715217482314
200,2,1,0.07923269391159299,0.46327417678598903
200,2,1,0.08006672226855713,0.45342876418965095
200,2,1,0.08090075062552127,0.4435367326146209
200,2,1,0.0817347789824854,0.4335995347820592
200,2,1,0.08256880733944953,0.4236186272701737
200,2,1,0.08340283569641367,0.4135954703053224
200,2,1,0.08423686405337781,0.40353152755295796
200,2,1,0.08507089241034195,0.393428265908441
200,2,1,0.08590492076730609,0.3832871552877543
200,2,1,0.08673894912427021,0.37310966841814636
200,2,1,0.08757297748123435,0.3628972806287302
200,2,1,0.0884070058381985,0.3526514696410741
200,2,1,0.08924103419516263,0.3423737153598046
200,2,1,0.09007506255212677,0.33206549966325777
200,2,1,0.09090909090909091,0.3217283061942034
200,2,1,0.09174311926605504,0.3113636201506739
200,2,1,0.09257714762301918,0.300972928076924
200,2,1,0.09341117597998332,0.29055771765455474
200,2,1,0.09424520433694746,0.28011947749382365
200,2,1,0.0950792326939116,0.2696596969251766
200,2,1,0.09591326105087572,0.259179865791026
200,2,1,0.09674728940783986,0.2486814742378037
200,2,1,0.097581317764804,0.23816601250832103
200,2,1,0.09841534612176814,0.22763497073445882
200,2,1,0.09924937447873228,0.21708983873021934
200,2,1,0.10008340283569642,0.20653210578516767
200,2,1,0.10091743119266054,0.19596326045828982
200,2,1,0.10175145954962468,0.185384790372296
200,2,1,0.10258548790658882,0.17479818200839706
200,2,1,0.10341951626355296,0.16420492050158136
200,2,1,0.1042535446205171,0.1536064894364203
200,2,1,0.10508757297748123,0.14300437064342966
200,2,1,0.10592160133444536,0.13240004399601316
200,2,1,0.1067556296914095,0.12179498720801858
200,2,1,0.10758965804837364,0.11119067563192928
